0 | 旁白 | （金鑾殿[1]。太監甩鞭三響，文武百官魚貫行至殿前。皇帝拾級而上走向龍椅） | 公元一七二二年，清康熙皇帝駕崩，川陝總督年羹堯和步軍統領隆科多在皇位繼承人大戰中為四阿哥胤禛登基立下汗馬功勞，被雍正視作社稷重臣一時權傾朝野，成為新政權的核心人物。
0 | 太監 | （百官跪下） （百官相應行禮） （百官站起） （金鑾殿[1]。太監甩鞭三響，文武百官魚貫行至殿前。皇帝拾級而上走向龍椅） | 跪！一叩首！再叩首！三叩首！興！
0 | 蘇培盛 | （步出殿外，宣旨） （金鑾殿[1]。太監甩鞭三響，文武百官魚貫行至殿前。皇帝拾級而上走向龍椅） | 奉天承運，皇帝詔曰：隆科多真聖祖皇帝忠臣，朕之功臣，國家良臣，襲一等公，授吏部尚書併兼管理藩院。川陝總督年羹堯授二等公，凡調遣軍兵、動用糧餉之處，著邊防辦餉大臣及川陝雲南督撫提鎮等，俱照年大將軍辦理，欽此。
0 | 百官 | （叩首） （金鑾殿[1]。太監甩鞭三響，文武百官魚貫行至殿前。皇帝拾級而上走向龍椅） | 謝主隆恩！
1 | 官員甲 | （退朝，百官散去） | 咱們皇上可真是器重年將軍和隆科多大人。
1 | 官員乙 | （退朝，百官散去） | 隆科多大人，恭喜恭喜啊！您可是國家的大功臣啊！
1 | 官員丙 | （退朝，百官散去） | 年大將軍，皇上對你可是垂青有加呀！
1 | 官員丁 | （退朝，百官散去） | 年大人，您可是皇上的股肱之臣哪！
1 | 蘇培盛 | （追上年羹堯） （年羹堯停下轉身） （退朝，百官散去） | 年大將軍請留步。大將軍——
1 | 年羹堯 | （退朝，百官散去） | 蘇公公，有何指教？
1 | 蘇培盛 | （退朝，百官散去） | 不敢。皇上惦記大將軍您的臂傷，特讓奴才將這祕製的金創藥膏交給大人，叫您使用。
1 | 年羹堯 | （遙向金鑾殿拱手） （接過匣子） （退朝，百官散去） | 臣年羹堯恭謝皇上聖恩！敢問蘇公公，小妹今日在宮中可好啊？
1 | 蘇培盛 | （退朝，百官散去） | 華妃娘娘鳳儀萬千、寵冠六宮啊，大將軍您放心好了。
1 | 年羹堯 | （轉身離去） （退朝，百官散去） | 那就有勞蘇公公了。
1 | 蘇培盛 | （退朝，百官散去） | 應該的。
2 | 蘇培盛 | （夜深，養心殿） | 皇上，敬事房的人來了。
2 | 徐進良 | （舉案齊眉[3]，趨步御前跪下） （皇帝在寫字，未予理會） （皇帝仍不理會） （夜深，養心殿） | 請皇上翻牌子。皇上，您這半個月都沒進後宮了，要是今天再不翻牌子，那太后一定會怪罪奴才的。皇上！
2 | 皇帝 | （繼續寫字） （夜深，養心殿） | 哪來那麼多話？
2 | 小廈子 | （走進） （夜深，養心殿） | 皇上，太后來了。
2 | 皇帝 | （夜深，養心殿） | 快，請太后進來。
2 | 小廈子 | （退身離去） （徐進良挪至一旁跪下） （夜深，養心殿） | 嗻！
2 | 蘇培盛 | （跪下） （太后走進坐下） | 太后萬安。
2 | 皇帝 | （放下筆，起身，單膝跪下[2]） （起身） （太后走進坐下） | 給皇額娘請安。
2 | 太后 | （太后走進坐下） | 天熱，我叫御膳房做了綠豆百合粥，哀家吃著不錯，知道你還沒睡，給你送一碗過來。
2 | 皇帝 | （太后走進坐下） | 多謝皇額娘。
2 | 竹息 | （向徐進良使個眼色，徐進良和蘇培盛退身離去） （皇帝吃菜、喝粥） | 皇上，這是隆科多大人打揚州給太后新弄來的醬菜，說是比三必居的爽口。
2 | 徐進良 | （將盤子遞給一名太監） （嘆氣，擦汗） （殿外） | 來來來
2 | 蘇培盛 | （嘆氣） （殿外） | 你也別苦著張臉了，左不過天天都是這樣子。
2 | 徐進良 | （殿外） | 皇上登基都已經大半年了，可是這每個月進後宮的日子，掰著指頭都數得清楚。
2 | 蘇培盛 | （殿外） | 唉，這敬事房的差事一閒，太后難免會責問，這倒難為你兩頭為難了。
2 | 徐進良 | （殿外） | 哎呀，多虧有蘇公公體諒，還望在皇上面前多多提醒才是。後宮那些小主們，盼皇上就像久旱盼甘霖呢。
2 | 蘇培盛 | （殿外） | 哎呀，哪有不勸的，只是皇上這兩天哪，忙於朝政，連睡覺都只睡兩三個時辰，咱們做奴才的想勸也張不了口啊。
2 | 皇帝 | （飯畢起身） （竹息搬凳子給皇帝坐下） （殿內） | 皇額娘要是嫌天熱，兒子可以讓他們拿些冰，放在額孃的宮中
2 | 太后 | （殿內） | 人老了，倒也不怕熱。叫人放心不下[4]的是皇帝你，早晚忙著朝政的事，自己的身子要有數。
2 | 皇帝 | （殿內） | 兒子知道。
2 | 太后 | （殿內） | 你這麼忙著，可有關心三阿哥的功課？
2 | 皇帝 | （殿內） | 前兩天還查了他的功課，字是練得不錯，學問上長進不大。
2 | 太后 | （殿內） | 先帝有你們二十四個兒子，皇帝就不如先帝了。
2 | 皇帝 | （殿內） | 兒膝下福薄，只有三個皇子，讓皇額娘掛心了。
2 | 太后 | （殿內） | 也不怪你。先帝嬪妃多，自然子嗣多，你後宮才那麼幾個人，皇后、端妃、齊妃，她們年紀都不小了，想要延綿子嗣也難。
2 | 皇帝 | （殿內） | 兒子不是不為子嗣的事著想。
2 | 太后 | （殿內） | 皇家最要緊的是要開枝散葉、綿延子嗣，才能江山萬年，代代有人。為此才要三年一選秀，充實後宮。
2 | 皇帝 | （殿內） | 皇額娘教訓的是。
2 | 太后 | （殿內） | 那麼，選秀的事就定了。
2 | 皇帝 | （殿內） | 一切聽皇額娘安排。
2 | 太后 | （殿內） | 哀家老了，還能安排什麼呀。讓內務府挑個好日子，一輪一輪的挑下來，挑到出色的給你為嬪為妃，哀家就等著含飴弄孫了。
2 | 皇帝 | （殿內） | 皇后事多，華妃協理六宮，選秀的事宜就讓華妃去操辦吧。
2 | 太后 | （殿內） | 華妃能幹、漂亮，你寵了她這麼多年了，選個新人進來也好，平分春色總勝於一枝獨秀。
2 | 皇帝 | （殿內） | 是。皇額娘，兒子還有一件事。
2 | 太后 | （殿內） | 什麼？
2 | 皇帝 | （殿內） | 既然選秀，兒子想這一次也就夠了，如果真的三年一次，也太鋪張了。另外，兒一直覺得應該滿漢一家，所以這次想多從漢軍旗裡選幾個秀女。
2 | 太后 | （殿內） | 這些都是小節，無妨，皇帝願意選新人就好，只是也別冷落了舊人。朝政再要緊，後宮還得常去。還有皇后，再怎麼說也是中宮啊。
2 | 皇帝 | （殿內） | 兒子知道。
3 | 皇后 | （景仁宮） | 這個時候要妹妹來，打擾妹妹午睡了。
3 | 華妃 | （景仁宮） | 臣妾哪有娘娘這麼清閒有福啊，不知娘娘召臣妾來有何要事？
3 | 皇后 | （景仁宮） | 選秀就快到最後一輪殿選了，妹妹準備的怎樣了？
3 | 華妃 | （景仁宮） | 娘娘放心，午後黃規全會話了，說已經妥當。反正皇上有旨，庫銀空虛，一切都要以節儉為主。臣妾手裡雖說變不出銀子，但總要顧得皇上的體面，這箇中滋味豈是旁人能知道的呀？
3 | 皇后 | （華妃喝茶） （微笑著看了一眼剪秋） （景仁宮） | 真的有勞妹妹了。哦對了，本宮叫人做了一些新的點心，請妹妹嚐個鮮。
3 | 剪秋 | （宮女魚貫而入，奉上點心） （景仁宮） | 繪春！
3 | 皇后 | （看向剪秋） （景仁宮） | 妹妹自己選，自己喜歡吃什麼就拿吧。怕是妹妹也吃膩了吧，剪秋啊，把那碟牡丹卷給華妃。
3 | 剪秋 | （景仁宮） | 是。
3 | 華妃 | （景仁宮） | 頌芝！
3 | 頌芝 | （走到宮女面前捧起一碟點心，碟子摔落地上，頌芝跪下） （景仁宮） | 是！皇后娘娘贖罪！皇后娘娘贖罪！奴婢不是故意的。
3 | 華妃 | （景仁宮） | 真不懂規矩，好好的把娘娘的心意都給砸了，還不快向娘娘請罪？
3 | 頌芝 | （景仁宮） | 皇后娘娘贖罪！皇后娘娘贖罪！
3 | 華妃 | （景仁宮） | 你是本宮的家生奴才，竟這般不懂規矩，本宮也不便教你了，若是皇后不饒恕你，本宮也不會輕放了你。
3 | 皇后 | （景仁宮） | 妹妹，只是小事，不用動這麼大的氣呀。
3 | 華妃 | （景仁宮） | 她本是粗笨，不機靈，幸得娘娘體恤，臣妾回去一定會好好教導她的。
3 | 皇后 | （景仁宮） | 頌芝原是妹妹的陪嫁丫鬟，身份不同一些，怎能讓她這樣端茶倒水的？你若覺得頌芝不好，也不必生氣，對吧？福子！
3 | 福子 | （走進） （景仁宮） | 皇后娘娘金安。華妃娘娘金安。
3 | 皇后 | （景仁宮） | 內務府新挑來的丫頭，叫福子。本宮看她機靈，便撥給你使喚吧。
3 | 華妃 | （景仁宮） | 頌芝雖粗笨，但是翊坤宮還不缺宮女，還是皇后自己留著用吧。
3 | 皇后 | （景仁宮） | 早聽說翊坤宮的宮女做事利索，是該讓福子她們這些小丫頭學學了。有妹妹調教著，幫著頌芝做些粗活，也能叫她們學得乖一些。
