嬪	[0.11044025721807084, -0.11023169446999656, -0.11043815062576431, -0.091428972355824, -0.11041812946824782, -0.09142915760016064, 0.08926986788836387, 0.09142915777203837, -0.09142899141778443, 0.08926986788665042, 0.11239079909365753, -0.11043833743102646, -0.11023169447016243, -0.08928987157795432, -0.11020958435808083, 0.11022957075556297, 0.09142897235755285, 0.11022957250563238, 0.09145091470872993, 0.09163963977412125, -0.08947844777439075, -0.09142897235583952, -0.09142897237322677, 0.11020956706410877, -0.08947843048196467, 0.09143089212719134, -0.09142897252926159, -0.08928989045216636, 0.08927005295738215, 0.08927178731253674, -0.1125993600915106, -0.11021150570797487, -0.11041831646280584, -0.09142897235583952, 0.09143091101726018, -0.09142897235753583, -0.09142897237512294, 0.11020956689204982, -0.11238886221743094, 0.11239059655691003, -0.09142897254527017, -0.08929007569495864, -0.08949863828699499, 0.08926986771475733, 0.09145091470685057, 0.09143090924775704, -0.09143091099969007, 0.11043833742914728, 0.11238867539646086, 0.11042025335488923, 0.11044025719878563, 0.08929199529272108, -0.08926986773232888, -0.11043815220582125, -0.11043831855836204, 0.11043815220410777, 0.11043813315971596, -0.09142899159137549, -0.11239061403861512, 0.11023150922755297, 0.09142897235583954, -0.08929197799854897, 0.11043832015256229, -0.11238869425140652, 0.09145109818354953, -0.1104402570288059, -0.08926986771648764, -0.11023169446845058, 0.09145089583433666, 0.09144897622073137, 0.09142897235738714, 0.1102114864741385, -0.11239061384933462, -0.09142897237340963, 0.11020975405848539, 0.09142897252771562, 0.11022975580857593, -0.08929199529272108, -0.0914510999320558, 0.11020956689204967, -0.09142897235583954, -0.09142897252924606, -0.11044007197374645, 0.11044025704635897, -0.08926986771460847, -0.1104202535267653, -0.11021148647413832, -0.11043813314385932, -0.09142898983927494, -0.09142897254510432, 0.11044025704619309, 0.0914289725294291, 0.0892717890803264, -0.11044025704619309, -0.08947844777457216, 0.08926986771648764, -0.09142897252942891, 0.0914291577701592, -0.11044007195790684, 0.09145091469099562]
妃	[0.1125071510034308, -0.11268587254136897, 0.0910690491291374, 0.09107101736669936, -0.11250696738242087, 0.09105008306093572, -0.09107101752274921, 0.091069234366335, 0.11248976627714125, -0.0928997622425691, 0.11268585594610171, 0.09106923257764302, -0.1124879831209066, -0.09107101752274738, 0.0929015288052755, 0.11248799954194771, -0.09106906553407937, -0.09105006486570473, -0.09107084888079825, 0.09308041898516098, -0.11067840468210303, 0.09107101752274904, 0.09289957860685873, 0.11268604280124447, 0.09105006486572337, 0.11270680860312556, 0.09289957698889809, 0.0930976200741619, 0.09307846732484874, 0.1124879831207287, 0.11250715102143104, 0.11047858004038877, -0.09107101752432731, -0.09307848374763036, -0.09107101752274738, 0.09107101752276468, 0.11250893415984517, 0.11268604280124447, -0.11270680860314287, -0.11067838826090136, 0.09107101590482101, 0.09107101590482103, 0.09309941805356839, -0.09106906391613236, 0.11065942186432676, 0.112685873970709, -0.09309763505146836, 0.11250696754020957, 0.091052034877296, 0.11248798312074769, 0.093080437024308, -0.09107101590482086, 0.09107101590482104, -0.1124897662771584, -0.09107101752274921, -0.09107100094374151, 0.1124879996980162, 0.09309941966977488, -0.11067840468212202, -0.09107101752448622, 0.0910692343663365, -0.0930994016306277, -0.09105023529950552, 0.11270663815274719, -0.09107101752276636, -0.11268782433973068, -0.11248798312072888, 0.09307848374779108, 0.09107101735042096, -0.09307848358998526, 0.11065942348399375, 0.11268780791678996, 0.09107101752274739, 0.0930994196697767, 0.11250698235990522, -0.11250698218757701, -0.09309941982584187, 0.09106923274839117, 0.09107101752274739, 0.11248995313230482, 0.09107101752276453, -0.11268782595767597, -0.11065745381361061, 0.11065940707733013, 0.09307846876856792, -0.11270680698519904, 0.09107101590481936, -0.1127068069851992, -0.09309763666941201, -0.11065764049800855, -0.09105006486398287, -0.093099419653498, 0.09307846716880055, 0.09105006486570622, 0.09107101736841954, -0.09107101573247547, 0.09107101752274739, -0.09307865240601713, 0.09107101752448638, -0.09107101752274738]
皇帝	[0.09430659095453436, -0.09234508520731857, 0.0923651290595093, -0.09412759131805636, -0.09430854688389068, 0.09216431363727787, -0.09216631070532123, -0.11427540476661543, -0.0921665150607814, 0.09236512905737462, -0.1123339636484994, 0.09412781851743539, -0.11427517986264812, 0.11427736092884379, -0.09432663482801273, 0.09234724776859289, 0.11233593808444718, 0.11429744383404047, -0.11231389716443461, -0.09236533364785858, 0.09412761188527437, 0.0921462483486335, -0.09412761167792111, 0.09430636809439781, 0.09234724591149338, 0.09214426980615446, -0.11231389924993597, 0.09216453877177976, 0.11233591751509427, 0.09214426978508691, -0.09236535419614611, 0.09216433420663103, -0.09216631072638881, -0.09412761188740928, 0.09216631070532123, 0.11427717692877841, -0.11429724135012345, 0.09430836311885296, -0.09410754953052071, 0.11233593808253407, -0.09214426980615446, -0.11233396158360107, 0.1123339636503913, 0.09412761395204364, 0.11231387865951546, -0.11233396367170168, -0.09412563540998722, 0.092146225735492, 0.11427738149797494, 0.0921462257144244, -0.09216651506291611, 0.09236512926941991, -0.11429526276571009, -0.09430856766293438, -0.11427519834627987, 0.09410557305096222, 0.11447817428406319, 0.09216631279104416, -0.09410754748691198, -0.09216433627126559, 0.09430856766529089, -0.0923651292670634, 0.09430854709358141, 0.11253675371634625, -0.09216631070532126, -0.1144761998500283, 0.09412761169898867, -0.09216433399480732, 0.09432861130757124, -0.11447817428644069, -0.09410754934210033, 0.09234508726981823, -0.114478174284285, -0.09216631070532126, 0.09430834440230917, -0.11231389904022425, 0.0941256372417727, 0.09236733090452516, 0.09216631070532126, 0.11447797199114486, -0.11233593808444718, 0.09216631070532123, -0.11427715614973664, 0.09412563538894063, 0.09216433420683162, -0.0921462483462982, -0.1144980341172788, -0.11447619778752866, -0.09216433422769858, -0.0921665152726047, -0.09432665537607826, 0.1142972413314126, 0.11233593810551452, -0.09216433627128658, 0.09216433420663077, -0.09432861151748181, 0.09216631070532123, 0.09216433399480732, 0.09216433399714283, -0.09214645085103981]
弘瞻	[0.09343667080164947, -0.1126487395530774, 0.09341398217611527, -0.09343450770974727, 0.09343667080391796, 0.09321253526053314, -0.11264873955513084, 0.0934139570935802, -0.09343450770976802, 0.11287267386235228, -0.11472819372673336, 0.09343452844909292, 0.09341592355737315, 0.09343450768824324, -0.0934364695677546, 0.09343450770771654, -0.09115360882132409, 0.09133450270241651, 0.09323328492745633, -0.09343667082339124, 0.09343452842758893, 0.11264871641263466, 0.1149501892969211, -0.11495018907714075, -0.09323328472939707, -0.09343430885296602, -0.09343453082847504, 0.09341395685454358, -0.09323308371256338, -0.09323114277090547, -0.09343452845135947, 0.09321253525828757, -0.11474894337418547, -0.09133646698281186, -0.11495018687431387, -0.09323330806768618, -0.09323112180951316, -0.11492961772370239, -0.11285212782841515, 0.11287267388385827, 0.09113305818572934, -0.1147489433741835, -0.09343669178229808, -0.09321253525850241, 0.09133430408672552, -0.0932311216137202, -0.1149501661327017, 0.09343667080188704, 0.09343450770974748, 0.09343452842735135, -0.09343667082542198, 0.11285212542956151, 0.09341398241718477, -0.09343667080392012, -0.11495018709387916, -0.11474678025850855, 0.1128521254295388, 0.09341398241718475, 0.09343450749018198, -0.09343452844907219, -0.09133646700433878, 0.09115146644499307, -0.09341592135452755, -0.11264873955309795, -0.09343450530884016, 0.11266732590832006, 0.09343450768597475, 0.09321057097808416, -0.11287289605742463, 0.11495018929672696, -0.11492963844152114, -0.11492961770239443, 0.11495018709388131, -0.11287071198057244, 0.09343450749018394, 0.09135721665179068, 0.09115362953914281, -0.09321059411809698, -0.09343450770974727, 0.09343667080392012, -0.09321037216638321, -0.09343453084794423, -0.09135505333805254, -0.09343450768824324, 0.11495232924837659, -0.09321251451688825, 0.09341592115625318, -0.0932311449520115, 0.11266948924358099, 0.11474894099707164, 0.11264871663266919, -0.09343667082544291, -0.11495018929670404, -0.09323114475395004, 0.09341398241742213, -0.0934161201875382, -0.09343453060890977, -0.09321253528000643, 0.09341395927719248, 0.09323114473242525]
莞常在	[0.10442069456714828, -0.10612187107151104, -0.10613923898276327, -0.10612003392348408, -0.0862912725569372, -0.1061373879836749, 0.10612017941390124, -0.10612001714098299, 0.1063192760442359, 0.10442069456581358, 0.08799059498514983, 0.10631911525191959, 0.10630192346450923, 0.0879924474647022, -0.10631929284148839, 0.08627374224188158, -0.08629127242617875, 0.10631759967352483, 0.10613756393346316, -0.1044031477585962, -0.10442069469669724, -0.10612019471581323, -0.10612169349669362, -0.08799059498514983, -0.10631927604543238, 0.10613754730907021, 0.08629125726883322, -0.08609201350806359, 0.10631927752468692, 0.1061218710863875, 0.08627204923470728, 0.1063192926957153, 0.10630006965014062, -0.10630006964866776, -0.1061201779185621, -0.08799077241552881, 0.10630023045599858, 0.08799227136940392, -0.10630023044110762, -0.10631929284148839, -0.10612001862023737, 0.10612185430269114, -0.10613754745484331, 0.10612171029408432, 0.08627390304922677, 0.10631761499029896, -0.10612001876613703, 0.10612185592771875, -0.08799059661015149, 0.08799227150028771, -0.0879905964806025, -0.10612003377759725, -0.10612017791842104, -0.0879922713557241, 0.10612001712611922, 0.10612001712610639, 0.08799075592189144, 0.10630007098616485, -0.1061218710862623, 0.08799059498527488, 0.10612170879994032, 0.08629127257060555, -0.10612001712612074, -0.08799075740260721, 0.10631929121633421, 0.10631929284148839, 0.10612001713978772, 0.10631929282793362, -0.08627205087340176, 0.10612169513673879, -0.08799059646586559, 0.08627390304908722, 0.1063017458761629, 0.08629125577324083, -0.1063017458748152, 0.08799059512970032, 0.08629127255572905, 0.10612003376418232, -0.08799059498527502, -0.08629127255560252, 0.08628957940277865, -0.10440148801227837, 0.10612171013476943, -0.08629125726883305, 0.10631761647076297, 0.0862895810426699, 0.1061390628737995, -0.1061218709418355, -0.10631927620341261, -0.10612169365614957, -0.10612003377893359, -0.10630174587481536, -0.10612169349670662, 0.08627205072883827, -0.10612169349670647, -0.08628941862400426, -0.10440147151876608, -0.10631929284148992, -0.08799059512957663, -0.10630006950436752]
先帝	[0.08777711922917265, 0.08794433633340126, 0.10595101134553306, 0.08618061254241849, 0.10611807878738871, 0.10611807878726963, 0.10613392380105761, 0.10595102728954588, -0.10613408776194215, 0.10596687231786368, -0.1042191750022871, 0.10611807878589616, 0.10611807877139426, -0.10438624242814827, 0.10420332831123197, -0.10613408791301403, -0.08601183626218006, 0.10613564859935415, 0.10596705224011752, 0.10437038143993992, 0.10613579507538169, -0.08619663732576188, 0.10611791331622697, 0.10595102578074742, 0.10613579673825206, 0.10613563264081267, -0.10613581256158555, 0.10613392379957783, -0.08619663900180136, -0.08601356104606835, -0.10613581254571017, -0.10596688829240196, 0.10613392381558731, 0.10596687398062646, 0.10613392379956503, 0.10613392530987005, 0.10437020001023566, -0.10611791482515966, 0.10595101132953755, 0.10611807712451954, 0.08776125839354244, 0.10613581254569633, -0.08794433631873866, -0.08792814576192931, 0.08794417235786782, -0.10613392530986993, 0.0861964733795526, -0.10438811521425703, -0.10596703627860148, -0.104370215832183, 0.08601356090949848, 0.10611807712451951, 0.106135812545709, -0.10613392381557346, -0.10613410523076318, -0.08794433480858053, -0.08794417084757573, -0.0877771034217272, 0.10611806130105313, 0.08602942204879138, -0.08601185208427442, -0.10613564707452193, 0.08794415490356293, 0.10613563111600473, -0.10613392379956518, -0.10437021598477393, -0.10595102715299011, -0.10613392380105881, 0.08777710493053965, -0.10613408776043574, 0.08776125839205001, 0.10613410358390228, 0.10613564860071353, -0.10613392381544055, -0.10596687231909016, -0.10613394113196307, -0.10613392531124223, -0.10420332995809271, 0.10595102728955853, -0.08601356090949835, -0.10613581254569633, 0.08794433480843365, 0.10613392381557346, 0.10613408776192831, 0.08792812842951742, 0.10613393975960157, -0.08601355955177294, 0.10613563263931906, 0.08601185374715732, -0.10595102730542139, -0.10594930250441834, -0.0861981823572373, 0.08618043111271421, 0.08601355939920627, 0.08618044856704471, -0.08618061101759787, 0.10613393977560986, 0.10613392381558744, -0.08601355939770104, -0.08794604363517823]
宜修	[-0.1150184716546804, 0.11295898873014316, 0.09370207822062183, 0.09372159547601004, 0.11297850402374485, 0.0937020801864684, -0.09370208018663416, -0.09370230965250427, -0.09370230766684483, 0.11521772782170724, 0.09146264513393379, 0.11521795725215653, 0.09370228928060033, 0.1129570014412911, -0.09372140654535831, -0.11521795725021085, -0.09352192272514094, -0.0937216156216053, 0.09166236019744578, -0.09372362110809428, 0.09372138418775959, 0.09372161562158755, 0.11501845326847289, -0.09372360096251678, 0.09372138617362341, 0.09372161563950963, 0.11521774619195571, 0.11521795727178424, -0.09372159526779232, 0.0937023096348043, -0.09352192071983421, -0.11295921619472979, 0.09372161563949188, -0.11295898894242255, 0.11295898674641149, 0.09372138418603605, -0.11317779872066576, -0.1152179572698565, 0.09352192272513929, 0.11295898693709806, 0.09350259655502402, 0.09370207820077181, 0.09372161562179211, -0.09372360273784397, 0.09146285621377971, 0.09166214890939954, 0.09168365129710827, 0.09372360096251678, -0.11519864929719169, -0.11499916746268503, -0.11521795705969162, 0.11501824237721478, 0.09372360075428147, 0.09148218255669503, -0.09146063964744465, -0.09352213200980819, -0.09370230944235883, 0.09352411714444744, 0.0935028260247483, 0.09372161365399984, -0.11295898695674374, -0.09372138439810943, 0.09350259476179064, 0.11499914729918541, 0.09148218037855475, 0.09372138636415855, -0.09372140654554509, 0.11317798765324354, 0.11519843999482281, -0.09372360075429904, -0.0937023076689418, -0.09166212895413524, 0.11519841982941105, 0.09352213180159048, -0.11315870161959088, -0.09370207821888052, -0.09370207821869392, 0.09370230944428509, -0.09166213094174018, -0.09372360077199904, -0.11295700142164564, 0.09352213199192308, -0.11297850203595457, -0.09372161344348262, 0.09352213199210806, 0.09148216040559012, 0.0937216156414392, 0.09372161563969644, -0.09372360075427982, 0.09352213201173612, -0.11519864908897398, -0.09350282583230284, 0.09146264530654684, 0.09370228928060033, 0.09372161564160662, -0.09370207820077181, -0.09146287656776356, -0.11295898674659809, 0.09370228929850484, 0.09372161564162418]
四郎	[-0.10477934880596816, 0.08499457723887689, -0.1046061645353755, -0.10460768988023733, 0.10478102083944871, 0.08516790965001914, 0.08516776285522114, -0.08516623763190755, 0.08499290493617224, -0.10477935028561147, 0.10477935028561021, -0.10460768989563295, -0.1046076897449034, 0.10478102230530521, -0.10477935027181258, -0.10478087548135274, 0.10460601917728209, 0.10287868284835817, 0.1047810363450688, 0.08689540672574639, 0.08516774586995769, -0.10478087549672152, 0.10478102082564979, -0.08516623763190753, -0.10477935028575161, 0.10460769134610974, -0.10477935013647754, 0.08516623764728855, 0.10460769134610974, -0.10478085849448047, -0.10477935027182608, 0.1047793486566954, -0.10477935028719489, 0.10305034177247635, -0.10305185174706648, -0.10305034337368255, 0.08516623749800241, 0.10460601917728209, 0.10477935028719347, -0.10460617990566311, -0.10287868446334861, 0.1047810208394474, -0.10477951259995398, 0.10287868284676001, -0.10478102097479455, -0.10477934867061961, 0.0851679083332926, 0.10478085997573391, 0.0868952445438352, -0.10305185159635044, -0.10477935027036804, -0.1047810209747812, 0.10477934865683565, 0.10478087549659491, -0.0868954068596369, 0.10477935027182596, 0.10477935028720822, 0.10305034337222589, -0.10477935028720825, -0.08689676960582875, -0.08689691656353146, -0.10478102230530521, -0.08689524454543322, -0.10478085850987613, 0.10305034322455, -0.08689522917368898, 0.10477934867220441, 0.10478102082566315, -0.10477935028562499, -0.10477951261520951, -0.10477935013647754, -0.10477934865683565, -0.10478087549659476, -0.10460618152079368, 0.10460769121076134, -0.10477935013649092, -0.08689691523142407, 0.10478102243919568, 0.10477935028720822, 0.10460768974634684, -0.08689524454383506, 0.08689691509767228, -0.10477935013793546, -0.10477935013647742, 0.08516623749801704, -0.10477935028719487, 0.08672358398788624, 0.08516790818574334, -0.10477935028561021, -0.0851679251849459, 0.10460768974490356, -0.1030503417724762, 0.10477935013792082, -0.10460768988025194, 0.08516774586994294, 0.10477935027182456, 0.10478085851130477, -0.10477951261519615, -0.10477934881976705, -0.08516790980072057]
哀家	[-0.10425160843441049, 0.08776176466238728, 0.10601411512251808, 0.10620206621140178, 0.10425178588388254, -0.10618439425848204, -0.08759334141012423, -0.10620206602847525, -0.10618255541982428, 0.08759166299347527, -0.10618441276531815, -0.106182357604162, 0.08582897717983408, -0.08583101383213633, 0.10425348282698355, -0.08582913778091794, -0.10441987166739268, -0.1061843940581264, -0.10442190459998929, 0.1042516254640074, 0.1042516084518719, 0.1061823592821052, -0.1044217105043841, -0.08581130336417406, 0.10618255339515725, -0.10618253671259725, -0.10620206788936448, -0.1044218875529262, -0.10618441110332068, -0.10618423367466219, 0.10618441092374614, 0.08776176300205614, 0.08599720469158788, 0.10601411327909503, 0.08776158575280511, 0.1061844109046314, -0.10618441090444687, -0.08581128650005529, 0.10620206790679355, -0.10618237614790978, -0.08759146497560436, -0.10442190627775103, 0.10443975547993482, 0.10601597080584728, -0.10425364339150398, -0.08582896051457152, -0.1062020847375358, -0.10620208491726103, -0.10618237614624175, -0.10618441090613098, 0.10441985297579506, 0.08581130336585832, 0.10618235930125396, 0.10442190439944728, -0.10618441278463384, 0.10618423383679126, -0.08582896034890714, -0.106182536714116, 0.10442190439944743, -0.08759148388337197, -0.10618441110500328, -0.10425160843442503, -0.08759351864191246, 0.10620206808820291, -0.10618255356080401, 0.0858289586711454, 0.08759146517616244, 0.08776176280319825, -0.08582896053183368, -0.10620206808990326, -0.10601411493944055, -0.0875914668539403, 0.0875935184589859, -0.08759146703701767, -0.08582897737852167, -0.10618441110498719, 0.08759164428611493, 0.1061823594824786, 0.10618441110498718, -0.08581130538885717, -0.10441985091621978, -0.10620392541610063, -0.10618439407555548, 0.1060141319673566, 0.10601413180337786, 0.08581130520743174, 0.1059964579545421, 0.08581130540613865, -0.1061844111050048, 0.10618255356080401, 0.10618441090631553, 0.10601429236976725, -0.08583083470490391, -0.10620206602864372, 0.10618441108737327, 0.08582896035060904, 0.10618255357823479, 0.08776176280166495, -0.10442190458254243, -0.10618441294672919]
溫宜公主	[-0.09609990516552522, -0.09401268749314526, 0.0940147093008977, -0.09401490287820709, -0.09421192131743611, 0.0942331071883057, -0.1143019550169807, -0.0942331071883057, -0.09401488377138169, -0.11410073756788434, -0.11432111925627199, -0.11432113834828549, -0.09423308827373858, 0.09403585732477686, 0.11432112109483929, -0.11616879084330868, -0.096080955432681, -0.09423310736415294, -0.11432112126905265, 0.11636800939055154, -0.09421394477168941, -0.09423308827392747, -0.09608093833523049, 0.09423308829193829, -0.09421194224480363, 0.09423510992385972, 0.09423309009444983, 0.11429995412033886, 0.0940340689394969, -0.11432114016884387, -0.09421414036158762, -0.09403404818457414, 0.09423308829033725, 0.11432112109485745, 0.09401488394543903, -0.0960807409263898, -0.09423310902704543, -0.09401490470034661, 0.09423310920304871, -0.09627999550400723, 0.09401488396363841, -0.09421192131547548, 0.11432111925788789, 0.0942330901108792, 0.09421392585533257, -0.09423309028490366, -0.11616896748244776, 0.0940340480267706, -0.09403606966223724, 0.09403385261106931, 0.11432112125246886, -0.09423308844796854, -0.09423328367160339, -0.0962801719853097, 0.09423328568438405, 0.11616898823575462, -0.09403406692671779, -0.09403385443159151, -0.09608095543087468, -0.11432111925628843, 0.11616896749866852, 0.09401490452451593, -0.0960809363224664, -0.11412408354878313, 0.11616898823558203, 0.0942330882901648, 0.11616896730661867, -0.11429995247564577, -0.09608093651451781, 0.09403387336599363, 0.09403606983448999, 0.09423328368782569, -0.09401490287801663, 0.11616896932101335, 0.09401488576596267, -0.09401290198121892, 0.09401470930105353, 0.09423328367160339, -0.0940340480105334, -0.09421213764228877, 0.09629915974133617, -0.09423308844779454, -0.11410293568289646, 0.09423308827373719, -0.09403385261285749, -0.09423308827392764, -0.0960809572514149, -0.0942119233302185, -0.09607875712558273, 0.11616898806331302, -0.09421213764247781, 0.09403607146457793, 0.09401268565638414, -0.09423308827194884, -0.09423308827212144, 0.09401488560817554, -0.09421394496195108, -0.09403385261268518, 0.09608095725160533, 0.11432112107842793]
